id,name,logo_path,territory_id,confed_id,official_name,code,gender,type,level,is_active,team_type
112,Isthmian League Premier Division,res://assets/textures/tournament_logo/112.png,70,11,English Isthmian League Premier Division,,0,1,7,1,0
113,Northern Premier League Division One East,res://assets/textures/tournament_logo/113.png,70,11,English Northern Premier League Division One East,,0,1,8,1,0
114,Northern Premier League Division One West,res://assets/textures/tournament_logo/114.png,70,11,English Northern Premier League Division One West,,0,1,8,1,0
115,Northern Premier League Division One Midlands,res://assets/textures/tournament_logo/115.png,70,11,English Northern Premier League Division One Midlands,,0,1,8,1,0
116,Southern Football League Division One Central,res://assets/textures/tournament_logo/116.png,70,11,English Southern Football League Division One Central,,0,1,8,1,0
117,Southern League Division One South,res://assets/textures/tournament_logo/117.png,70,11,English Southern League Division One South,,0,1,8,1,0
118,Isthmian League Division One South Central,res://assets/textures/tournament_logo/118.png,70,11,English Isthmian League Division One South Central,,0,1,8,1,0
119,Isthmian League Division One North,res://assets/textures/tournament_logo/119.png,70,11,English Isthmian League Division One North,,0,1,8,1,0
120,Isthmian League Division One South East,res://assets/textures/tournament_logo/120.png,70,11,English Isthmian League Division One South East,,0,1,8,1,0
121,Primera División,res://assets/textures/tournament_logo/121.png,71,15,Equatoguinean Primera División,,0,1,1,1,0
122,Premier League,res://assets/textures/tournament_logo/122.png,72,17,Eritrean Premier League,,0,1,1,1,0
123,Meistriliiga,res://assets/textures/tournament_logo/123.png,73,8,Estonian Meistriliiga,,0,1,1,1,0
124,Esiliiga,res://assets/textures/tournament_logo/124.png,73,8,Estonian Esiliiga,,0,1,2,1,0
125,Esiliiga B,res://assets/textures/tournament_logo/125.png,73,8,Estonian Esiliiga B,,0,1,3,1,0
126,Premier League,res://assets/textures/tournament_logo/126.png,74,18,Eswatini Premier League,,0,1,1,1,0
127,Premier League,res://assets/textures/tournament_logo/127.png,75,17,Ethiopian Premier League,,0,1,1,1,0
128,Premier League,res://assets/textures/tournament_logo/128.png,77,8,Faroe Islands Premier League,,0,1,1,1,0
129,1. deild,res://assets/textures/tournament_logo/129.png,77,8,Faroe Islands 1. deild,,0,1,2,1,0
130,2. deild,res://assets/textures/tournament_logo/130.png,77,8,Faroe Islands 2. deild,,0,1,3,1,0
131,Premier League,res://assets/textures/tournament_logo/131.png,79,25,Fijian Premier League,,0,1,1,1,0
132,Veikkausliiga,res://assets/textures/tournament_logo/132.png,80,8,Finnish Veikkausliiga,,0,1,1,1,0
133,Ykkösliiga,res://assets/textures/tournament_logo/133.png,80,8,Finnish Ykkösliiga,,0,1,2,1,0
134,Ykkönen,res://assets/textures/tournament_logo/134.png,80,8,Finnish Ykkönen,,0,1,3,1,0
135,Ligue 1,res://assets/textures/tournament_logo/135.png,81,11,French Ligue 1,,0,1,1,1,0
136,Ligue 2,res://assets/textures/tournament_logo/136.png,81,11,French Ligue 2,,0,1,2,1,0
137,Ligue 3,res://assets/textures/tournament_logo/137.png,81,11,French Championnat National,,0,1,3,1,0
138,National 2 Group A,res://assets/textures/tournament_logo/138.png,81,11,French National 2 Group A,,0,1,4,1,0
139,National 2 Group B,res://assets/textures/tournament_logo/139.png,81,11,French National 2 Group B,,0,1,4,1,0
140,National 2 Group C,res://assets/textures/tournament_logo/140.png,81,11,French National 2 Group C,,0,1,4,1,0
141,Régional 1,res://assets/textures/tournament_logo/141.png,81,11,French Guiana Régional 1,,0,1,1,1,0
142,Ligue 1,res://assets/textures/tournament_logo/142.png,83,26,Tahiti Ligue 1,,0,1,1,1,0
143,Ligue 2,res://assets/textures/tournament_logo/143.png,83,26,Tahiti Ligue 2,,0,1,2,1,0
144,Championnat National D1,res://assets/textures/tournament_logo/144.png,84,15,Gabon Championnat National D1,,0,1,1,1,0
145,GFA League,res://assets/textures/tournament_logo/145.png,85,19,Gambia GFA League,,0,1,1,1,0
146,Erovnuli Liga,res://assets/textures/tournament_logo/146.png,86,9,Georgian Erovnuli Liga,,0,1,1,1,0
147,Erovnuli Liga 2,res://assets/textures/tournament_logo/147.png,86,9,Georgian Erovnuli Liga 2,,0,1,2,1,0
148,Erovnuli Liga 3,res://assets/textures/tournament_logo/148.png,86,9,Georgian Erovnuli Liga 3,,0,1,3,1,0
149,Bundesliga,res://assets/textures/tournament_logo/149.png,87,11,German Bundesliga,,0,1,1,1,0
150,2. Bundesliga,res://assets/textures/tournament_logo/150.png,87,11,German 2. Bundesliga,,0,1,2,1,0
151,Liga 3,res://assets/textures/tournament_logo/151.png,87,11,Germany Liga 3,,0,1,3,1,0
152,Regionalliga Nord,res://assets/textures/tournament_logo/152.png,87,11,German Regionalliga Nord,,0,1,4,1,0
153,Regionalliga Nordost,res://assets/textures/tournament_logo/153.png,87,11,German Regionalliga Nordost,,0,1,4,1,0
154,Regionalliga West,res://assets/textures/tournament_logo/154.png,87,11,German Regionalliga West,,0,1,4,1,0
155,Regionalliga Südwest,res://assets/textures/tournament_logo/155.png,87,11,German Regionalliga Südwest,,0,1,4,1,0
156,Regionalliga Bayern,res://assets/textures/tournament_logo/156.png,87,11,German Regionalliga Bayern,,0,1,4,1,0
157,Premier League,res://assets/textures/tournament_logo/157.png,88,19,Ghanaian Premier League,,0,1,1,1,0
158,National League,res://assets/textures/tournament_logo/158.png,89,10,Gibraltarian National League,,0,1,1,1,0
159,GFL First Division,res://assets/textures/tournament_logo/159.png,90,10,Gozo Football League First Division,,0,1,1,1,0
160,Superleague Greece,res://assets/textures/tournament_logo/160.png,91,10,Greek Superleague Greece,,0,1,1,1,0
161,Super League 2,res://assets/textures/tournament_logo/161.png,91,10,Greek Super League 2,,0,1,2,1,0
162,Gamma Ethniki,res://assets/textures/tournament_logo/162.png,91,10,Greek Gamma Ethniki,,0,1,3,1,0
163,Football Championship,res://assets/textures/tournament_logo/163.png,92,4,Greenlandic Football Championship,,0,1,1,1,0
164,GFA Premier League,res://assets/textures/tournament_logo/164.png,93,12,GFA Premier League,,0,1,1,1,0
165,Division d'Honneur,res://assets/textures/tournament_logo/165.png,94,12,Guadeloupe Division d'Honneur,,0,1,1,1,0
166,G-League,res://assets/textures/tournament_logo/166.png,95,21,Guam Soccer League,,0,1,1,1,0
167,Liga Nacional,res://assets/textures/tournament_logo/167.png,96,13,Guatemala Liga Nacional,,0,1,1,1,0
168,Primera División,res://assets/textures/tournament_logo/168.png,96,13,Guatemala Primera División,,0,1,2,1,0
169,Priaulx League,res://assets/textures/tournament_logo/169.png,97,11,Guernsey Priaulx League,,0,1,1,1,0
170,Ligue 1,res://assets/textures/tournament_logo/170.png,98,19,Guinea Ligue 1,,0,1,1,1,0
171,Campeonato Nacional,res://assets/textures/tournament_logo/171.png,99,19,Guinea-Bissau Campeonato Nacional,,0,1,1,1,0
172,GFF Elite League,res://assets/textures/tournament_logo/172.png,100,12,GFF Elite League,,0,1,1,1,0
173,Ligue Haïtienne,res://assets/textures/tournament_logo/173.png,101,12,Ligue Haïtienne,,0,1,1,1,0
174,Liga Nacional de Futbol,res://assets/textures/tournament_logo/174.png,103,13,Honduras Liga Nacional de Futbol,,0,1,1,1,0
175,Premier League,res://assets/textures/tournament_logo/175.png,104,21,Hong Kong Premier League,,0,1,1,1,0
176,First Division League,res://assets/textures/tournament_logo/176.png,104,21,Hong Kong First Division League,,0,1,2,1,0
177,NB I,res://assets/textures/tournament_logo/177.png,105,9,Hungarian NB I,,0,1,1,1,0
178,NB II,res://assets/textures/tournament_logo/178.png,105,9,Hungarian NB II,,0,1,2,1,0
179,NB III,res://assets/textures/tournament_logo/179.png,105,9,Hungarian NB III,,0,1,3,1,0
180,Besta deild karla,res://assets/textures/tournament_logo/180.png,106,8,Icelandic Besta deild karla,,0,1,1,1,0
181,1 deild karla,res://assets/textures/tournament_logo/181.png,106,8,Icelandic 1 deild karla,,0,1,2,1,0
182,2 deild karla,res://assets/textures/tournament_logo/182.png,106,8,Icelandic 2 deild karla,,0,1,3,1,0
183,3 deild karla,res://assets/textures/tournament_logo/183.png,106,8,Icelandic 3 deild karla,,0,1,4,1,0
184,4 deild karla,res://assets/textures/tournament_logo/184.png,106,8,Icelandic 4 deild karla,,0,1,5,1,0
185,Super League,res://assets/textures/tournament_logo/185.png,107,22,Indian Super League,,0,1,1,1,0
186,I-League,res://assets/textures/tournament_logo/186.png,107,22,Indian I-League,,0,1,2,1,0
187,I-League 2,res://assets/textures/tournament_logo/187.png,107,22,Indian I-League 2nd Division,,0,1,3,1,0
188,I-League 3,res://assets/textures/tournament_logo/188.png,107,22,Indian I-League 3rd Division,,0,1,4,1,0
189,Super League,res://assets/textures/tournament_logo/189.png,108,23,Indonesian Super League,,0,1,1,1,0
190,Championship,res://assets/textures/tournament_logo/190.png,108,23,Indonesian Championship,,0,1,2,1,0
191,Persian Gulf Pro League,res://assets/textures/tournament_logo/191.png,109,20,Iranian Persian Gulf Pro League,,0,1,1,1,0
192,Azadegan League,res://assets/textures/tournament_logo/192.png,109,20,Iranian Azadegan League,,0,1,2,1,0
193,2nd Division,res://assets/textures/tournament_logo/193.png,109,20,Iran 2nd Division,,0,1,3,1,0
194,Stars League,res://assets/textures/tournament_logo/194.png,110,24,Iraq Stars League,,0,1,1,1,0
195,Premier Division League,res://assets/textures/tournament_logo/195.png,110,24,Iraq Premier Division League,,0,1,2,1,0
196,Premier Division,res://assets/textures/tournament_logo/196.png,111,11,Irish Premier Division,,0,1,1,1,0
197,First Division,res://assets/textures/tournament_logo/197.png,111,11,Irish First Division,,0,1,2,1,0
198,IMF League,res://assets/textures/tournament_logo/198.png,112,11,Isle of Man Football League,,0,1,1,1,0
199,Saturday League,res://assets/textures/tournament_logo/199.png,113,11,Isle of Wight Saturday League,,0,1,1,1,0
200,ISF League,res://assets/textures/tournament_logo/200.png,114,10,Isles of Scilly Football League,,0,1,1,1,0
201,Premier League,res://assets/textures/tournament_logo/201.png,115,9,Israeli Premier League,,0,1,1,1,0
202,Liga Leumit,res://assets/textures/tournament_logo/202.png,115,9,Israeli Liga Leumit,,0,1,2,1,0
203,Liga Alef,res://assets/textures/tournament_logo/203.png,115,9,Israeli Liga Alef,,0,1,3,1,0
204,Serie A,res://assets/textures/tournament_logo/204.png,116,10,Italian Serie A,,0,1,1,1,0
205,Serie B,res://assets/textures/tournament_logo/205.png,116,10,Italian Serie B,,0,1,2,1,0
206,Serie C Girone A,res://assets/textures/tournament_logo/206.png,116,10,Italian Serie C Girone A,,0,1,3,1,0
207,Serie C Girone B,res://assets/textures/tournament_logo/207.png,116,10,Italian Serie C Girone B,,0,1,3,1,0
208,Serie C Girone C,res://assets/textures/tournament_logo/208.png,116,10,Italian Serie C Girone C,,0,1,3,1,0
209,Serie D Girone A,res://assets/textures/tournament_logo/209.png,116,10,Italy Serie D Girone A,,0,1,4,1,0
210,Serie D Girone B,res://assets/textures/tournament_logo/210.png,116,10,Italy Serie D Girone B,,0,1,4,1,0
211,Serie D Girone C,res://assets/textures/tournament_logo/211.png,116,10,Italy Serie D Girone C,,0,1,4,1,0
212,Serie D Girone D,res://assets/textures/tournament_logo/212.png,116,10,Italy Serie D Girone D,,0,1,4,1,0
213,Serie D Girone E,res://assets/textures/tournament_logo/213.png,116,10,Italy Serie D Girone E,,0,1,4,1,0
214,Serie D Girone F,res://assets/textures/tournament_logo/214.png,116,10,Italy Serie D Girone F,,0,1,4,1,0
215,Serie D Girone G,res://assets/textures/tournament_logo/215.png,116,10,Italy Serie D Girone G,,0,1,4,1,0
216,Serie D Girone H,res://assets/textures/tournament_logo/216.png,116,10,Italy Serie D Girone H,,0,1,4,1,0
217,Serie D Girone I,res://assets/textures/tournament_logo/217.png,116,10,Italy Serie D Girone I,,0,1,4,1,0
218,Ligue 1,res://assets/textures/tournament_logo/218.png,117,19,Ivory Coast Ligue 1,,0,1,1,1,0
219,Premier League,res://assets/textures/tournament_logo/219.png,118,12,Jamaican Premier League,,0,1,1,1,0
220,J1 League,res://assets/textures/tournament_logo/220.png,119,21,Japanese J1 League,,0,1,1,1,0
221,J2 League,res://assets/textures/tournament_logo/221.png,119,21,Japanese J2 League,,0,1,2,1,0
222,J3 League,res://assets/textures/tournament_logo/222.png,119,21,Japanese J3 League,,0,1,3,1,0
223,Japan Football League,res://assets/textures/tournament_logo/223.png,119,21,Japan Football League,,0,1,4,1,0
224,Football Combination,res://assets/textures/tournament_logo/224.png,120,11,Jersey Football Combination,,0,1,1,1,0
225,Pro League,res://assets/textures/tournament_logo/225.png,121,24,Jordanian Pro League,,0,1,1,1,0
226,Division 1,res://assets/textures/tournament_logo/226.png,121,24,Jordan League Division 1,,0,1,2,1,0
227,Premier League,res://assets/textures/tournament_logo/227.png,122,9,Kazakhstan Premier League,,0,1,1,1,0
228,First League,res://assets/textures/tournament_logo/228.png,122,9,Kazakhstan First League,,0,1,2,1,0
229,Premier League,res://assets/textures/tournament_logo/229.png,123,17,Kenyan Premier League,,0,1,1,1,0
230,National Championship,res://assets/textures/tournament_logo/230.png,124,27,Kiribati National Championship,,0,1,1,1,0
231,Superleague,res://assets/textures/tournament_logo/231.png,125,9,Kosovan Superleague,,0,1,1,1,0
232,First Football League,res://assets/textures/tournament_logo/232.png,125,9,Kosovo First Football League,,0,1,2,1,0
233,Premier League,res://assets/textures/tournament_logo/233.png,126,24,Kuwait Premier League,,0,1,1,1,0
234,Division 1,res://assets/textures/tournament_logo/234.png,126,24,Kuwait Division 1,,0,1,2,1,0
235,Premier League,res://assets/textures/tournament_logo/235.png,127,20,Kyrgyz Premier League,,0,1,1,1,0
236,League Second Level,res://assets/textures/tournament_logo/236.png,127,20,Kyrgyzstan League Second Level,,0,1,2,1,0
237,Premier League,res://assets/textures/tournament_logo/237.png,128,23,Lao Premier League,,0,1,1,1,0
238,Higher League,res://assets/textures/tournament_logo/238.png,129,8,Latvian Higher League,,0,1,1,1,0
239,First League,res://assets/textures/tournament_logo/239.png,129,8,Latvian First League,,0,1,2,1,0
240,Second League,res://assets/textures/tournament_logo/240.png,129,8,Latvian Second League,,0,1,3,1,0
241,Third League,res://assets/textures/tournament_logo/241.png,129,8,Latvian Third League,,0,1,4,1,0
242,Premier League,res://assets/textures/tournament_logo/242.png,130,24,Lebanon Premier League,,0,1,1,1,0
243,Second Division,res://assets/textures/tournament_logo/243.png,130,24,Lebanese Second Division,,0,1,2,1,0
244,Premier League,res://assets/textures/tournament_logo/244.png,131,18,Lesotho Premier League,,0,1,1,1,0
